ticker,short,long,strategy_cagr,bh_cagr,edge,strategy_sharpe,bh_sharpe,sharpe_edge,strategy_max_drawdown,bh_max_drawdown,round_trip_trades,pct_days_in_market
DUK,10,100,-0.026222207019924948,0.08482286141915663,-0.11104506843908157,-0.23375562659203078,0.3551383492774917,-0.5888939758695225,-0.4029333151413851,-0.37371864174847996,19.0,64.45783132530121
DUK,10,150,-0.0014275095504210356,0.09132762533178784,-0.09275513488220888,-0.07872412193199196,0.3792316324821954,-0.45795575441418734,-0.3371121540908538,-0.37371864174848013,15.0,70.55900621118012
DUK,10,200,0.013950278812152161,0.07701341779186821,-0.06306313897971605,0.012464890568818915,0.31960770185361265,-0.3071428112847937,-0.27151185332233446,-0.3737186417484801,8.5,70.38461538461539
DUK,20,50,-0.007829640804452032,0.08101022080756937,-0.0888398616120214,-0.12315437209047207,0.3412170715246362,-0.4643714436151083,-0.38299853577144605,-0.37371864174848024,25.5,59.53216374269006
DUK,20,100,-0.0622368501639855,0.08482286141915663,-0.14705971158314213,-0.4405679114332418,0.3551383492774917,-0.7957062607107335,-0.5083817245420506,-0.37371864174847996,17.5,61.98795180722891
DUK,20,150,-0.00027073437660907196,0.09132762533178784,-0.09159835970839691,-0.0636758691197633,0.3792316324821954,-0.4429075016019587,-0.3416669765099764,-0.37371864174848013,10.5,69.8136645962733
DUK,20,200,-0.004116755260511029,0.07701341779186821,-0.08113017305237924,-0.07599306304937091,0.31960770185361265,-0.39560076490298357,-0.40108968217849206,-0.3737186417484801,4.5,71.98717948717949
DUK,30,50,-0.04285603638049984,0.08101022080756937,-0.1238662571880692,-0.32618686912361544,0.3412170715246362,-0.6674039406482517,-0.49081458189905075,-0.37371864174848024,24.5,60.877192982456144
DUK,30,100,-0.037104426850050776,0.08482286141915663,-0.1219272882692074,-0.25827164623840415,0.3551383492774917,-0.6134099955158958,-0.4069867556409704,-0.37371864174847996,12.5,60.60240963855422
DUK,30,150,-0.01839241471649944,0.09132762533178784,-0.10972004004828728,-0.1499928448618816,0.3792316324821954,-0.529224477344077,-0.3800966436434981,-0.37371864174848013,10.5,69.87577639751554
DUK,30,200,0.03821888429931164,0.07701341779186821,-0.03879453349255657,0.15190607802069922,0.31960770185361265,-0.16770162383291343,-0.37371864174847996,-0.3737186417484801,4.5,72.75641025641025
DUK,50,100,-0.03663270584828604,0.08482286141915663,-0.12145556726744267,-0.23132752683468893,0.3551383492774917,-0.5864658761121806,-0.3809908668152759,-0.37371864174847996,13.5,62.53012048192771
DUK,50,150,-0.0050441766468186655,0.09132762533178784,-0.09637180197860651,-0.06696029245154339,0.3792316324821954,-0.44619192493373877,-0.37512767599701224,-0.37371864174848013,7.0,71.18012422360248
DUK,50,200,0.036328859226900434,0.07701341779186821,-0.04068455856496778,0.14484084400411612,0.31960770185361265,-0.17476685784949653,-0.3737186417484802,-0.3737186417484801,3.0,72.37179487179488
SO,5,50,0.07204763713507245,0.12276181454125434,-0.05071417740618189,0.3779677877016876,0.4891737823233263,-0.11120599462163872,-0.21359066591034673,-0.38434846194377054,28.5,62.4561403508772
SO,5,100,0.027319124918322446,0.11634416996779628,-0.08902504504947384,0.08153221602996044,0.46271552590789655,-0.38118330987793614,-0.3277762682789377,-0.38434846194377015,20.5,69.51807228915663
SO,5,150,0.023011736968434837,0.11512194674036991,-0.09211020977193507,0.058526218951598166,0.4555193820995583,-0.3969931631479601,-0.3222074857817631,-0.38434846194377054,17.5,71.11801242236024
SO,5,200,0.019692953046063444,0.10240647888572219,-0.08271352583965874,0.042657046217831306,0.4063997759426157,-0.36374272972478444,-0.3146275271836643,-0.3843484619437707,14.5,76.6025641025641
SO,10,50,0.06202143745180222,0.12276181454125434,-0.060740377089452124,0.30727302090871306,0.4891737823233263,-0.18190076141461325,-0.22551506862153056,-0.38434846194377054,22.5,62.92397660818714
SO,10,100,0.03072947655232916,0.11634416996779628,-0.08561469341546712,0.10278692630436223,0.46271552590789655,-0.3599285996035343,-0.3246482449374436,-0.38434846194377015,15.5,69.39759036144578
SO,10,150,0.036883726305294795,0.11512194674036991,-0.07823822043507511,0.1411359336528472,0.4555193820995583,-0.31438344844671107,-0.29859591127144347,-0.38434846194377054,9.5,71.61490683229815
SO,10,200,0.04270904592620939,0.10240647888572219,-0.0596974329595128,0.17338738153120736,0.4063997759426157,-0.23301239441140836,-0.3221227167750507,-0.3843484619437707,7.5,77.37179487179488
SO,20,50,0.061266876227728195,0.12276181454125434,-0.06149493831352615,0.29315546807895715,0.4891737823233263,-0.19601831424436916,-0.23337534513621486,-0.38434846194377054,18.5,63.74269005847953
SO,20,100,0.0012111343067773284,0.11634416996779628,-0.11513303566101896,-0.06382004697045762,0.46271552590789655,-0.5265355728783542,-0.4421601622118333,-0.38434846194377015,12.5,68.49397590361446
SO,20,150,0.02372774364707886,0.11512194674036991,-0.09139420309329105,0.07881341849783625,0.4555193820995583,-0.37670596360172204,-0.3218293012689584,-0.38434846194377054,7.5,72.48447204968944
SO,20,200,-0.009960452058315195,0.10240647888572219,-0.11236693094403738,-0.07934372898031568,0.4063997759426157,-0.4857435049229314,-0.4252388618968538,-0.3843484619437707,6.5,76.85897435897436
SO,30,50,0.00894280281879456,0.12276181454125434,-0.11381901172245978,-0.02467985779760537,0.4891737823233263,-0.5138536401209317,-0.4071498451921805,-0.38434846194377054,18.5,63.976608187134495
SO,30,100,-0.02154887213103629,0.11634416996779628,-0.13789304209883257,-0.15589394772750867,0.46271552590789655,-0.6186094736354052,-0.5051584020179055,-0.38434846194377015,10.5,68.73493975903614
SO,30,150,-0.0005574535022861982,0.11512194674036991,-0.1156794002426561,-0.03107581449958259,0.4555193820995583,-0.48659519659914086,-0.3843484619437703,-0.38434846194377054,7.5,73.35403726708074
SO,30,200,0.04436501441528229,0.10240647888572219,-0.058041464470439896,0.1833311032165545,0.4063997759426157,-0.22306867272606123,-0.38434846194377037,-0.3843484619437707,5.5,76.08974358974359
SO,50,100,0.004680699124637533,0.11634416996779628,-0.11166347084315875,0.0008153854721268632,0.46271552590789655,-0.4619001404357697,-0.38434846194377065,-0.38434846194377015,11.5,69.03614457831326
SO,50,150,0.04218338985777792,0.11512194674036991,-0.07293855688259199,0.17554271183066972,0.4555193820995583,-0.27997667026888856,-0.3843484619437703,-0.38434846194377054,5.5,76.27329192546584
SO,50,200,0.02767855205580716,0.10240647888572219,-0.07472792682991503,0.11471216791125456,0.4063997759426157,-0.2916876080313612,-0.38434846194377037,-0.3843484619437707,4.5,78.78205128205128
LIN,5,50,0.08337483211308272,0.1576078507733667,-0.07423301866028398,0.41515912592441195,0.6150759126736455,-0.19991678674923352,-0.19497915351335374,-0.3258507285327689,27.0,65.49707602339181
